device_id,timestamp,alarm_class,absolulte_barometric_pressure,absolute_load_value,absolute_throttle_position_b,absolute_throttle_position_d,absolute_throttle_position_e,acceleration_x,acceleration_y,acceleration_z,actual_engin___percent_torque,air_intake_temperature,ambient_air_temperature,calculated_engine_load,catalyst_temperature_bank_1_sensor_1,commanded_evaporative_purge,commanded_throttle_actuator,control_module_voltage,distance_traveled_since_codes_cleared,distance_traveled_with_mil_on,driver's_demand_engin___percent_torque,engine_coolant_temperature,engine_reference_torque,engine_rpm,external_battery,fuel_air_commanded_equivalence_rate,fuel_rail_gauge_pressure,fuel_system_status,fuel_tank_level_input,fuel_type,hardware_status,idling,ignition_status,intake_manifold_absolute_pressure,internal_battery,long_term_fuel_trim_bank_1,maf_air_flow_rate,monitor_status_since_dtcs_cleared,monitor_status_this_drive_cycle,obd_standards_this_vehicle_conforms_to,oxygen_sensor_1___ab:_fuel_air_equivalence_ratio,oxygen_sensor_1___b:_short_term_fuel_trim,oxygen_sensor_2___b:_short_term_fuel_trim,oxygen_sensors_present_in_2_banks,pidnamenotavailable,relative_throttle_position,run_time_since_engine_start,short_term_fuel_trim_bank_1,throttle_position,timing_advance,towing,speed_kmh,warm_ups_since_codes_cleared,lat,lng,altitude,is_idle,driver_score,hour,day_of_week,date,aggressive_throttle
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:16,2,100.0,30.0,15.0,20.0,9.5,0.5999999,-9.0,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,83.25,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:19,0,100.0,30.0,15.0,20.0,9.5,0.1,-8.6,3.75,25.0,60.0,20.0,45.0,630.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.0,30000.0,0.0,40.0,0.0,0.0,0.0,1.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,120.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,99.92,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:19,1,100.0,30.0,15.0,20.0,8.0,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,7.0,14.0,65520.0,0.0,40.0,85.0,120.0,950.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,1.0,255.0,13.330119,74.74409,15.0,0,95.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:19,2,100.0,30.0,15.0,16.0,9.5,0.5999999,-9.0,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,10.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,83.25,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:19,3,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,30.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,85.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:19,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.25,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,46.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,77.56,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:27,0,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,1.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,100.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:27,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.5,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,77.38,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:29,1,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,5.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,95.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:29,2,100.0,30.0,14.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,90.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:29,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,2.0,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,80.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:32,0,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,1.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,100.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:32,1,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,10.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,95.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:32,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,42.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,80.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:37,0,100.0,30.0,15.0,20.0,9.5,0.2,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,99.85,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:37,1,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,10.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,95.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:37,2,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.75,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,83.44,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:37,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,41.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.330119,74.74409,15.0,0,80.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:43,0,100.0,30.0,15.0,20.0,9.5,-0.2,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,60.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,13.33011,5.0,60.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,99.85,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:43,1,100.0,30.0,1.0,1.0,1.0,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,30.0,0.0,1.0,2.0,65520.0,0.0,40.0,5.0,120.0,1150.0,38.0,0.09999997,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,1.0,240.0,0.0,20.0,20.0,0.0,25.0,2.5,13.348448,74.73647,25.0,0,95.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:43,2,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,20.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,10.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,90.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:43,3,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.0,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,82.75,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:43,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,41.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,80.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:27:43,5,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,75.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:28:15,5,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,75.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:28:19,0,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,100.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:28:19,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,41.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,80.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:28:19,5,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,75.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:28:31,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,40.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348448,74.73647,25.0,0,80.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:28:58,0,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,1.0,25.0,255.0,13.348688,74.736534,24.0,0,100.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:29:04,0,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,1.0,25.0,255.0,13.348724,74.73655,24.0,0,100.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:29:09,4,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,40.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348724,74.73655,24.0,0,80.0,14,4,2020-08-21,0
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,2020-08-21 14:29:09,5,100.0,30.0,15.0,20.0,9.5,0.5999999,-8.6,3.75,25.0,60.0,20.0,30.0,570.0,0.0,6.0,14.0,65520.0,0.0,40.0,85.0,120.0,1150.0,38.0,1.1,30000.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,94.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,13.33011,5.0,240.0,0.0,20.0,20.0,0.0,25.0,255.0,13.348724,74.73655,24.0,0,75.0,14,4,2020-08-21,0
